"filename", "language", "YAML", "Docker", "JSON", "JavaScript", "Markdown", "Shell Script", "MS SQL", "Terraform", "HCL", "Properties", "comment", "blank", "total"
"/home/nitroarch/kood/code-keeper/repos/prod-manifests/inventory/inventory.yaml", "YAML", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 57
"/home/nitroarch/kood/code-keeper/repos/prod-manifests/pv/pv-billing.yaml", "YAML", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/home/nitroarch/kood/code-keeper/repos/prod-manifests/pv/pv-inventory.yaml", "YAML", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"/home/nitroarch/kood/code-keeper/repos/prod-manifests/rabbitmq/rabbitmq.yaml", "YAML", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 41
"/home/nitroarch/kood/code-keeper/repos/rabbitmq/.gitlab-ci.yml", "YAML", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 41
"/home/nitroarch/kood/code-keeper/repos/rabbitmq/Dockerfile", "Docker", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 46
"/home/nitroarch/kood/code-keeper/repos/rabbitmq/entrypoint.sh", "Shell Script", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 4, 2, 12
"/home/nitroarch/kood/code-keeper/repos/rabbitmq/package.json", "JSON", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"/home/nitroarch/kood/code-keeper/repos/rabbitmq/server.js", "JavaScript", 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 9, 41
"/home/nitroarch/kood/code-keeper/repos/sealsecrets.sh", "Shell Script", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 3, 7
"/home/nitroarch/kood/code-keeper/repos/tf/.gitlab-ci.yml", "YAML", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 67
"/home/nitroarch/kood/code-keeper/repos/tf/.terraform.lock.hcl", "HCL", 0, 0, 0, 0, 0, 0, 0, 0, 40, 0, 2, 3, 45
"/home/nitroarch/kood/code-keeper/repos/tf/1-local.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"/home/nitroarch/kood/code-keeper/repos/tf/10-autoscale.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 51, 6, 57
"/home/nitroarch/kood/code-keeper/repos/tf/2-provider.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 3, 16
"/home/nitroarch/kood/code-keeper/repos/tf/3-network.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 28, 0, 0, 0, 11, 39
"/home/nitroarch/kood/code-keeper/repos/tf/4-subnet.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 42, 0, 0, 0, 8, 50
"/home/nitroarch/kood/code-keeper/repos/tf/5-routes.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 10, 46
"/home/nitroarch/kood/code-keeper/repos/tf/6-eks.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 39, 0, 0, 0, 9, 48
"/home/nitroarch/kood/code-keeper/repos/tf/7-nodes.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 66, 0, 0, 2, 15, 83
"/home/nitroarch/kood/code-keeper/repos/tf/8-iam.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 108, 0, 0, 1, 16, 125
"/home/nitroarch/kood/code-keeper/repos/tf/9-cloudwatch.tf", "Terraform", 0, 0, 0, 0, 0, 0, 0, 76, 0, 0, 0, 6, 82
"/home/nitroarch/kood/code-keeper/repos/tf/autoscale.yaml", "YAML", 144, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 145
"/home/nitroarch/kood/code-keeper/repos/tf/init.sh", "Shell Script", 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 1, 12
"/home/nitroarch/kood/code-keeper/repos/tf/readme.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"Total", "-", 1769, 70, 86, 345, 37, 144, 49, 420, 40, 2, 406, 452, 3820
